DAY_PERIOD,BOROUGH,AVG_MPH,TOTAL_TRIPS,VALID_SPEED_TRIPS
day,Bronx,12.890053396292052,144591,136366
night,Bronx,14.772490661289895,90807,84890
day,Brooklyn,12.076110840996765,901099,886862
night,Brooklyn,14.315406026515243,733821,723423
day,EWR,22.52171358415342,962,155
night,EWR,24.357057383691604,495,71
day,Manhattan,10.824217643654844,15344954,15255370
night,Manhattan,13.035051302174383,8456632,8400592
day,Queens,18.85458510336675,1324542,1292903
night,Queens,19.246807093523362,759138,740625
day,Staten Island,17.400589028441654,510,372
night,Staten Island,18.494565067190873,362,283
day,UNKNOWN,14.931830519709315,10190,5548
night,UNKNOWN,17.27366304833613,8840,3743
day,Unknown,11.23232089507321,306727,286307
night,Unknown,13.510901412815633,183082,166421
