DAY_OF_WEEK,DAY_DESC,HOUR,TRIPS_COUNT
1,Domingo,10,6179143
1,Domingo,13,6140293
1,Domingo,9,6112338
1,Domingo,8,6047489
1,Domingo,11,6024000
1,Domingo,12,6012254
1,Domingo,14,5925975
1,Domingo,7,5686168
1,Domingo,15,5371643
1,Domingo,6,5015777
1,Domingo,16,4936285
1,Domingo,17,4621554
1,Domingo,5,3992460
1,Domingo,18,3896489
1,Domingo,19,2965989
1,Domingo,4,2798242
1,Domingo,20,1902704
1,Domingo,3,1892129
1,Domingo,0,1748412
1,Domingo,2,1294851
1,Domingo,21,1156222
1,Domingo,1,1110524
1,Domingo,22,764852
1,Domingo,23,631610
2,Lunes,14,7129301
2,Lunes,13,6950592
2,Lunes,15,6492967
2,Lunes,12,6203733
2,Lunes,10,6155524
2,Lunes,11,6082287
2,Lunes,16,5998533
2,Lunes,9,5775981
2,Lunes,4,5566468
2,Lunes,8,5539411
2,Lunes,17,5506254
2,Lunes,5,5369331
2,Lunes,7,5322590
2,Lunes,6,5174191
2,Lunes,3,4929894
2,Lunes,18,4431075
2,Lunes,2,3382631
2,Lunes,19,3079366
2,Lunes,20,1883169
2,Lunes,1,1672797
2,Lunes,21,1074639
2,Lunes,0,836965
2,Lunes,22,664946
2,Lunes,23,526330
3,Martes,14,7797570
3,Martes,13,7372600
3,Martes,15,7324204
3,Martes,16,7007753
3,Martes,17,6674899
3,Martes,10,6500277
3,Martes,12,6404916
3,Martes,11,6305930
3,Martes,4,6211863
3,Martes,9,6176571
3,Martes,8,5966141
3,Martes,5,5922416
3,Martes,7,5770150
3,Martes,6,5664988
3,Martes,3,5526005
3,Martes,18,5522816
3,Martes,19,3843294
3,Martes,2,3683611
3,Martes,20,2328368
3,Martes,1,1696215
3,Martes,21,1340757
3,Martes,22,830256
3,Martes,0,739973
3,Martes,23,632707
4,Miercoles,14,8024958
4,Miercoles,15,7677151
4,Miercoles,13,7519832
4,Miercoles,16,7368707
4,Miercoles,17,7150572
4,Miercoles,10,6623978
4,Miercoles,12,6494699
4,Miercoles,9,6392932
4,Miercoles,11,6391461
4,Miercoles,4,6369686
4,Miercoles,8,6216307
4,Miercoles,18,6109859
4,Miercoles,5,6069440
4,Miercoles,7,6023634
4,Miercoles,6,5847615
4,Miercoles,3,5684773
4,Miercoles,19,4460129
4,Miercoles,2,3768317
4,Miercoles,20,2781300
4,Miercoles,1,1731157
4,Miercoles,21,1638954
4,Miercoles,22,1021091
4,Miercoles,0,799991
4,Miercoles,23,755278
5,Jueves,14,8147755
5,Jueves,15,7865502
5,Jueves,16,7633653
5,Jueves,13,7597516
5,Jueves,17,7474117
5,Jueves,10,6778926
5,Jueves,18,6729529
5,Jueves,12,6564812
5,Jueves,11,6507483
5,Jueves,9,6477990
5,Jueves,4,6385966
5,Jueves,8,6268448
5,Jueves,5,6096911
5,Jueves,7,6061969
5,Jueves,6,5895255
5,Jueves,3,5693792
5,Jueves,19,5405768
5,Jueves,2,3804131
5,Jueves,20,3795671
5,Jueves,21,2420933
5,Jueves,1,1772535
5,Jueves,22,1561467
5,Jueves,23,1105753
5,Jueves,0,873509
6,Viernes,14,8236236
6,Viernes,15,7813410
6,Viernes,13,7624986
6,Viernes,18,7167540
6,Viernes,16,7115912
6,Viernes,17,7113388
6,Viernes,19,6732507
6,Viernes,10,6728131
6,Viernes,12,6619640
6,Viernes,11,6496781
6,Viernes,9,6362216
6,Viernes,8,6144498
6,Viernes,4,5965814
6,Viernes,7,5932436
6,Viernes,20,5848069
6,Viernes,5,5822008
6,Viernes,6,5731752
6,Viernes,3,5272684
6,Viernes,21,4802410
6,Viernes,22,3727420
6,Viernes,2,3601835
6,Viernes,23,2623761
6,Viernes,1,1789427
6,Viernes,0,1073639
7,Sabado,14,7581141
7,Sabado,13,7217760
7,Sabado,15,7168937
7,Sabado,18,7004069
7,Sabado,19,6795108
7,Sabado,17,6680556
7,Sabado,12,6627624
7,Sabado,10,6597479
7,Sabado,11,6576044
7,Sabado,9,6561585
7,Sabado,16,6517806
7,Sabado,8,6499559
7,Sabado,7,6101944
7,Sabado,20,6050118
7,Sabado,6,5476693
7,Sabado,21,5147216
7,Sabado,5,4654789
7,Sabado,22,4080543
7,Sabado,4,3510933
7,Sabado,23,2910327
7,Sabado,3,2380530
7,Sabado,0,1605258
7,Sabado,2,1580346
7,Sabado,1,1130199
