PU_LOCATION_ID,ZONE,P50_MINUTES,P90_MINUTES,TRIPS_COUNT
237,Upper East Side South,9.0,22.00000000000001,31354025
161,Midtown Center,11.999999999999996,26.0,29296718
236,Upper East Side North,9.000000000000002,23.000000000000007,28580328
186,Penn Station/Madison Sq West,12.999999999999996,27.017142988275793,25787297
162,Midtown East,11.000000000000012,24.999999999999996,25711905
230,Times Sq/Theatre District,12.0,29.0,24702731
170,Murray Hill,11.0,23.999999999999996,23853989
234,Union Sq,11.0,24.863080182446517,23300782
48,Clinton East,10.000000000000007,25.000000000000007,23151329
132,JFK Airport,38.999999999999986,66.00000000000004,22545495
142,Lincoln Square East,10.0,23.000000000000007,22443738
79,East Village,11.0,23.999999999999993,21599899
163,Midtown North,11.000000000000014,26.564392146713775,20390816
138,LaGuardia Airport,28.999999999999993,50.86101082463534,19899446
239,Upper West Side South,9.000000000000004,23.000000000000007,19596690
68,East Chelsea,11.999999999999998,26.000000000000014,18728863
107,Gramercy,10.000000000000005,23.00000000000001,18043996
141,Lenox Hill West,9.0,22.000000000000004,17964565
164,Midtown South,11.000000000000004,25.0,17947551
249,West Village,10.999999999999995,24.999999999999996,16019148
238,Upper West Side North,9.000000000000002,23.000000000000007,14537619
229,Sutton Place/Turtle Bay North,10.000000000000002,22.235573467521544,14486743
100,Garment District,11.0,26.0,14244317
263,Yorkville West,8.999999999999998,22.776536502957082,14080891
90,Flatiron,10.0,24.000000000000007,13861201
140,Lenox Hill East,10.999999999999998,24.000000000000004,13754394
231,TriBeCa/Civic Center,12.999999999999991,28.999999999999986,12987009
113,Greenwich Village North,10.99999999999999,25.000000000000004,12041340
43,Central Park,10.999999999999998,25.999999999999986,11615025
246,West Chelsea/Hudson Yards,12.000000000000004,25.0,11555387
114,Greenwich Village South,11.000000000000002,25.000000000000004,10423383
148,Lower East Side,12.000000000000002,24.999999999999993,10241427
233,UN/Turtle Bay South,11.810615696773217,24.77843639170283,9925469
137,Kips Bay,10.000000000000004,22.999999999999996,9465139
264,,10.321190393449383,28.0,9418790
262,Yorkville East,10.000000000000002,22.000000000000007,9387758
75,East Harlem South,9.0,25.0,8882556
158,Meatpacking/West Village West,12.0,26.000000000000004,8397636
143,Lincoln Square West,10.0,22.999999999999996,8383001
144,Little Italy/NoLiTa,12.000000000000004,27.000000000000004,8163955
74,East Harlem North,10.0,22.012879343844087,7032660
50,Clinton West,10.999999999999998,24.99999999999999,6871811
151,Manhattan Valley,9.999999999999993,23.999999999999996,6586040
166,Morningside Heights,10.999999999999996,27.0,6440805
13,Battery Park City,15.000000000000004,31.0,6333859
211,SoHo,12.0,27.475908473280658,6266193
41,Central Harlem,8.0,23.999999999999986,6265771
87,Financial District North,16.0,32.0,5468804
125,Hudson Sq,11.0,27.000000000000004,4290852
7,Astoria,8.984589654033842,24.99999999999999,4235916
261,World Trade Center,16.99999999999999,33.999999999999986,4116939
42,Central Harlem North,8.999222559201469,24.99999999999999,3589726
255,Williamsburg (North Side),13.0,27.999999999999996,3354996
82,Elmhurst,10.000000000000002,23.04088617808791,2975760
181,Park Slope,11.000000000000004,29.99999999999999,2809034
88,Financial District South,16.999999999999993,33.99999999999997,2768975
97,Fort Greene,12.0,27.99999999999999,2640258
24,Bloomingdale,10.0,24.999999999999993,2466704
244,Washington Heights South,12.999999999999995,30.00000000000001,2357837
129,Jackson Heights,9.0,24.0,2274537
33,Brooklyn Heights,14.0,32.0,2261338
65,Downtown Brooklyn/MetroTech,12.999999999999996,30.999999999999986,2204879
25,Boerum Hill,12.0,29.008311771910098,2196155
226,Sunnyside,12.99999999999999,30.00000000000001,1942975
224,Stuy Town/Peter Cooper Village,10.999999999999996,22.999999999999993,1907174
116,Hamilton Heights,10.999999999999995,26.99999999999999,1896184
256,Williamsburg (South Side),12.13860526933419,27.999999999999986,1880847
145,Long Island City/Hunters Point,11.000000000000002,28.762019042200034,1874929
95,Forest Hills,10.0,25.0,1861814
4,Alphabet City,11.999999999999995,24.999999999999986,1796748
260,Woodside,9.406377170248662,23.00814027505654,1748607
66,DUMBO/Vinegar Hill,14.644961323006825,29.7589407658884,1567998
45,Chinatown,13.999999999999993,32.0,1566872
223,Steinway,8.0,25.999999999999986,1550974
209,Seaport,14.0,31.0,1486288
112,Greenpoint,12.0,27.0,1424247
232,Two Bridges/Seward Park,12.999999999999998,27.999999999999975,1405383
49,Clinton Hill,11.000000000000004,29.999999999999982,1332254
61,Crown Heights North,12.000000000000002,34.999999999999986,1301353
152,Manhattanville,9.999999999999996,24.999999999999993,1264557
17,Bedford,11.0,31.0,1095019
80,East Williamsburg,11.999999999999995,27.0,1075676
146,Long Island City/Queens Plaza,9.999999999999996,26.999999999999996,1053026
130,Jamaica,12.0,33.0,1029816
52,Cobble Hill,12.999999999999995,30.999999999999996,949586
40,Carroll Gardens,11.999999999999998,29.999999999999986,868285
70,East Elmhurst,24.03310104529617,46.0,850396
179,Old Astoria,9.0,27.999999999999986,816760
265,Outside of NYC,1.0,59.999999999999986,701716
37,Bushwick South,12.999999999999996,33.99999999999999,648450
193,Queensbridge/Ravenswood,5.0,26.000000000000004,635475
196,Rego Park,12.999999999999995,28.0,626937
92,Flushing,12.000000000000004,29.9976338270204,619074
243,Washington Heights North,12.0,31.60878294924574,605741
189,Prospect Heights,11.999999999999996,30.999999999999993,575342
134,Kew Gardens,8.999999999999998,24.000000000000004,563979
225,Stuyvesant Heights,13.999999999999993,38.999999999999986,563669
247,West Concourse,11.000000000000002,29.999999999999993,541246
188,Prospect-Lefferts Gardens,15.120252859142015,41.0,501334
83,Elmhurst/Maspeth,10.0,24.999999999999993,483652
168,Mott Haven/Port Morris,11.000000000000005,29.99999999999999,444263
36,Bushwick North,13.005225527457789,32.0,420955
89,Flatbush/Ditmas Park,17.0,44.0,380696
106,Gowanus,11.000000000000004,29.99999999999999,363979
159,Melrose South,11.999999999999998,29.890786851311677,360862
127,Inwood,11.000000000000004,29.999999999999996,334612
69,East Concourse/Concourse Village,12.000000000000002,33.0021988448845,330298
12,Battery Park,18.999999999999993,35.303121303121294,319810
76,East New York,22.21724353872148,52.72144883327242,316054
173,North Corona,9.0,24.0,309430
93,Flushing Meadows-Corona Park,23.0,43.17120654744253,298881
210,Sheepshead Bay,7.0,36.27501175963665,279612
228,Sunset Park West,14.0,39.00167625393686,263521
62,Crown Heights South,14.95101883297313,39.57584694494859,250710
10,Baisley Park,37.000000000000014,66.99999999999999,242789
195,Red Hook,18.833260711692077,42.0,212780
35,Brownsville,20.574016116515967,50.99999999999999,206515
242,Van Nest/Morris Park,14.000000000000002,37.00000000000001,204600
55,Coney Island,25.058059587471355,63.98420245398772,192325
216,South Ozone Park,17.29488064270673,49.99999999999999,190615
177,Ocean Hill,17.000000000000004,44.0,190348
39,Canarsie,23.999999999999996,58.99999999999999,188985
56,Corona,13.000000000000004,35.99999999999999,184815
174,Norwood,14.999999999999995,37.06346801346801,178566
14,Bay Ridge,19.57453283833592,49.0,170952
197,Richmond Hill,17.999999999999996,51.99999999999997,170560
182,Parkchester,13.999999999999998,40.99999999999999,169590
169,Mount Hope,12.999999999999996,35.99999999999999,160355
119,Highbridge,13.000000000000002,35.132720198089835,159101
235,University Heights/Morris Heights,14.0,39.95391414141414,158825
72,East Flatbush/Remsen Village,20.000000000000004,53.99999999999999,156808
167,Morrisania/Melrose,13.000000000000002,36.50518032303276,156642
91,Flatlands,22.000000000000004,55.99999999999999,151054
213,Soundview/Castle Hill,18.000000000000004,47.00000000000001,148776
18,Bedford Park,12.999999999999998,37.01275957544994,148052
217,South Williamsburg,10.000000000000004,32.0,147481
85,Erasmus,18.0,46.0,146688
212,Soundview/Bruckner,10.999999999999998,32.0,143454
71,East Flatbush/Farragut,21.0,52.501496417149816,139950
28,Briarwood/Jamaica Hills,18.0,45.39815140845069,138438
78,East Tremont,13.455748558187583,39.0,137537
215,South Jamaica,30.000000000000004,57.999999999999986,137050
220,Spuyten Duyvil/Kingsbridge,12.999999999999996,35.985130323315744,132868
47,Claremont/Bathgate,13.000000000000004,38.0,122151
136,Kingsbridge Heights,14.00026586316909,44.0,120823
190,Prospect Park,13.000000000000004,33.99999999999999,119156
51,Co-Op City,23.000000000000004,57.999999999999986,116857
157,Maspeth,15.000000000000002,35.0,110638
250,Westchester Village/Unionport,13.999999999999996,39.00000000000001,106957
254,Williamsbridge/Olinville,20.0,51.999999999999986,105805
241,Van Cortlandt Village,13.000000000000002,41.0,105342
26,Borough Park,20.999999999999996,52.00000000000001,104879
20,Belmont,12.016007532956689,35.0,103744
198,Ridgewood,17.0,38.99999999999999,102689
257,Windsor Terrace,13.999999999999993,37.07669616519174,96868
121,Hillcrest/Pomonok,16.0,39.027030539311234,96068
185,Pelham Parkway,14.000000000000002,38.006609195402305,93443
133,Kensington,16.0,40.00000000000001,93298
205,Saint Albans,27.372022572022566,60.00000000000001,90879
165,Midwood,21.000000000000004,53.63741891950731,90776
126,Hunts Point,13.640522894884237,36.00000000000001,90769
54,Columbia Street,13.861257094807645,31.000000000000004,85280
77,East New York/Pennsylvania Avenue,22.328790886746074,52.00521319388582,84231
219,Springfield Gardens South,33.99999999999999,66.0651891891892,83034
248,West Farms/Bronx River,14.0,40.999999999999986,81768
155,Marine Park/Mill Basin,22.000000000000004,56.130743801652926,79139
34,Brooklyn Navy Yard,12.999999999999998,30.999999999999993,78914
147,Longwood,15.0,39.0,77852
94,Fordham South,12.999999999999996,33.999999999999986,76092
1,Newark Airport,0.0,2.0,72813
135,Kew Gardens Hills,15.0,44.38412485065708,72074
123,Homecrest,19.000000000000004,51.000000000000014,69155
22,Bensonhurst West,20.833029889242905,55.0,68000
191,Queens Village,22.000000000000007,56.99999999999999,66792
218,Springfield Gardens North,24.999999999999996,59.00000000000001,66162
60,Crotona Park East,13.999999999999996,38.99999999999999,65285
29,Brighton Beach,19.999999999999993,57.999999999999986,64727
208,Schuylerville/Edgewater Park,16.0,44.99410153781335,63670
222,Starrett City,27.000000000000004,59.00000000000001,63572
258,Woodhaven,19.999999999999993,46.999999999999986,63396
149,Madison,16.999999999999993,51.00000000000001,60956
207,Saint Michaels Cemetery/Woodside,1.0,22.011311311311317,60582
32,Bronxdale,17.999999999999996,51.64755639097744,60490
63,Cypress Hills,23.000000000000004,49.999999999999986,60182
202,Roosevelt Island,16.0,39.99999999999999,59278
227,Sunset Park East,22.000000000000004,50.68058139534892,57688
192,Queensboro Hill,14.999999999999996,35.0,55732
153,Marble Hill,10.000000000000002,27.999999999999993,55586
194,Randalls Island,17.999999999999993,39.00000000000001,54492
131,Jamaica Estates,18.999999999999996,48.99999999999999,53735
81,Eastchester,21.000000000000004,55.0,53085
21,Bensonhurst East,21.999999999999996,55.99999999999997,50250
160,Middle Village,16.0,37.99999999999999,49186
259,Woodlawn/Wakefield,21.0,53.08083333333337,46073
108,Gravesend,23.999999999999986,59.99999999999997,43565
102,Glendale,16.999999999999993,42.0,41882
3,Allerton/Pelham Gardens,18.0,49.999999999999986,41519
117,Hammels/Arverne,43.999999999999986,79.00000000000001,40383
200,Riverdale/North Riverdale/Fieldston,21.999999999999993,49.999999999999986,39266
183,Pelham Bay,16.0,47.99999999999999,36058
